Year,Country,GDP_Grwth,Curr_Hlth_Exp,Ext_Hlth_Exp,Life_Exp_At_Brth
2013,KOR,3.164708636,6.24789429,0,81.27073171
2014,IND,7.410227605,3.61956549,0.42667863,68.286
2014,AUS,2.533114665,9.03597069,0,82.3
2014,CAN,2.870036075,10.25013065,0,81.8
2014,SAU,3.652481701,5.22794724,0,74.533
2014,USA,2.52597345,16.40644836,0,78.84146341
2014,TUR,4.93971516,4.32517862,0,76.172
2014,RUS,0.736267221,5.18022871,0,70.74365854
2014,ZAF,1.846991604,7.93015003,12.98441887,61.968
2014,ARG,-2.512615321,9.67129993,6.79630232,75.913
2014,BRA,0.50395574,8.39624977,1.40356207,74.745
2014,MEX,2.849773255,5.63038635,0,74.908
2014,DEU,2.209543431,11.01583958,0,81.0902439
2014,FRA,0.956183052,11.58073521,0,82.7195122
2014,ITA,-0.004547542,8.86791897,0,83.0902439
2014,GBR,2.607475901,9.95758438,0.45389828,81.30487805
2014,JPN,0.374719476,10.83204937,0,83.58780488
2014,CHN,7.425763656,4.77322769,0.10846128,75.629
2014,IDN,5.006668426,3.11712098,2.10878325,70.481
2014,KOR,3.202453795,6.47438097,0,81.72195122
2015,IND,7.996253444,3.59565997,0.41934901,68.607
2015,AUS,2.192647426,9.32331181,0,82.4
2015,CAN,0.659176864,10.68328094,0,81.9
2015,SAU,4.106408869,5.99834013,0,74.651
2015,USA,2.908021861,16.71075249,0,78.6902439
2015,TUR,6.0844869,4.11690378,0,76.532
2015,RUS,-1.972719226,5.29560423,0,71.18341463
2015,ZAF,1.193732801,8.20090294,11.42767239,62.649
2015,ARG,2.731159828,10.22933769,4.34729862,76.068
2015,BRA,-3.545763393,8.87090969,0.63022804,74.994
2015,MEX,3.293151528,5.79708719,0,74.904
2015,DEU,1.491931528,11.17801952,0,80.64146341
2015,FRA,1.112912341,11.46616745,0,82.32195122
2015,ITA,0.778304351,8.85689163,0,82.54390244
2015,GBR,2.355524306,9.90435219,0.46997565,80.95609756
2015,JPN,1.222921041,10.88550663,0,83.79390244
2015,CHN,7.041328879,4.8887229,0.03354824,75.928
2015,IDN,4.8763223,2.99113512,0.41107738,70.768
2015,KOR,2.809103268,6.65271664,0,82.02439024
2016,IND,8.256305844,3.51098323,0.38894689,68.897
2016,AUS,2.770652197,9.20071316,0,82.44878049
2016,CAN,1.001394414,10.97903442,0,81.9
2016,SAU,1.670624757,5.83562613,0,74.761
2016,USA,1.637838457,17.04898262,0,78.53902439
2016,TUR,3.323084208,4.28469229,0,76.86
2016,RUS,0.193690072,5.26521969,0,71.65121951
2016,ZAF,0.39908793,8.09581757,8.22819138,63.153
2016,ARG,-2.080327844,9.00189686,3.55937171,76.221
2016,BRA,-3.275916908,9.20742226,0.59341604,75.23
2016,MEX,2.630532425,5.61569786,0,74.917
2016,DEU,2.229999868,11.23043633,0,80.9902439
2016,FRA,1.095464404,11.50134468,0,82.57317073
2016,ITA,1.293462732,8.72533035,0,83.24390244
2016,GBR,1.918155132,9.86671162,0.47513777,81.15609756
2016,JPN,0.521944455,10.83460999,0,83.98487805
2016,CHN,6.848762205,4.98188066,0.00638595,76.21
2016,IDN,5.033069183,3.08569908,0.45663697,71.035
2016,KOR,2.946881715,6.91432714,0,82.27560976
2017,IND,7.043820855,3.53500652,0.55882972,69.165
2017,AUS,2.300610624,9.20544815,0,82.5
2017,CAN,3.170729897,10.78964806,0,81.94878049
2017,SAU,-0.741502652,7.00368643,0,74.874
2017,USA,2.369800784,17.00361443,0,78.53902439
2017,TUR,7.501997494,4.17974997,0,77.161
2017,RUS,1.825790064,5.34388065,0,72.43195122
2017,ZAF,1.414512626,8.11311913,9.74234772,63.538
2017,ARG,2.818502972,10.45704365,6.6355896,76.372
2017,BRA,1.322869054,9.46933746,0.62285048,75.456
2017,MEX,2.113129135,5.51889515,0,74.947
2017,DEU,2.601976005,11.32229614,0,80.99268293
2017,FRA,2.291419994,11.39050198,0,82.57560976
2017,ITA,1.667859041,8.6777401,0,82.94634146
2017,GBR,1.892077007,9.82511234,0.50026852,81.25609756
2017,JPN,2.168290737,10.79634285,0,84.0997561
2017,CHN,6.947200793,5.15119171,0.00193121,76.47
2017,IDN,5.069785901,2.86824059,0.594293,71.282
2017,KOR,3.15963574,7.10694933,0,82.62682927
2018,IND,6.119586841,3.544245,0.50652009,69.416
2018,AUS,2.949285772,9.28459835,0,82.74878049
2018,CAN,2.013639187,10.79046917,0,81.94878049
2018,SAU,2.434110778,6.3615365,0,74.998
2018,USA,2.927325732,16.88529778,0,78.53902439
2018,TUR,2.958966724,4.12414074,0,77.437
2018,RUS,2.536331301,5.31590033,0,72.65731707
2018,ZAF,0.78705557,8.25342083,9.90629673,63.857
2018,ARG,-2.565351876,9.62454033,3.41267014,76.52
2018,BRA,1.317223999,9.51438713,0.73985195,75.672
2018,MEX,2.194992049,5.37147474,0,74.992
2018,DEU,1.267995232,11.42995071,0,80.89268293
2018,FRA,1.792863927,11.25789452,0,82.72439024
2018,ITA,0.944089469,8.66763401,0,83.34634146
2018,GBR,1.340720602,9.99696255,0.56387877,81.25609756
2018,JPN,0.323207338,10.95338821,0,84.21097561
2018,CHN,6.749773833,5.35107994,0.00324691,76.704
2018,IDN,5.169705609,2.87053037,0.42233506,71.509
2018,KOR,2.907403774,7.56259203,0,82.62682927
